"('Year', '1960s', 'Awarded as ""Grand Prix Spécial du Jury""')","('English Title', '1960s', 'Awarded as ""Grand Prix Spécial du Jury""')","('Original Title', '1960s', 'Awarded as ""Grand Prix Spécial du Jury""')","('Director(s)', '1960s', 'Awarded as ""Grand Prix Spécial du Jury""')","('Production Country', '1960s', 'Awarded as ""Grand Prix Spécial du Jury""')",Number of Wins,Directors,Nationality,Films,Ref(s)
1967,Accident,Accident,Joseph Losey,United Kingdom,,,,,
1967,I Even Met Happy Gypsies,Skupljači perja,Aleksandar Petrović,Yugoslavia,,,,,
1969,Ådalen 31,Ådalen 31,Bo Widerberg,Sweden,,,,,
1970s,1970s,1970s,1970s,1970s,,,,,
1970,Investigation of a Citizen Above Suspicion,Indagine su un cittadino al di sopra di ogni sospetto,Elio Petri,Italy,,,,,
1971,Johnny Got His Gun,Johnny Got His Gun,Dalton Trumbo,United States,,,,,
1971,Taking Off,Taking Off,Miloš Forman,United States,,,,,
1972,Solaris,Солярис,Andrei Tarkovsky,Soviet Union,,,,,
1973,The Mother and the Whore,La Maman et la putain,Jean Eustache,France,,,,,
1974,Arabian Nights,Il fiore delle Mille e una notte,Pier Paolo Pasolini,"Italy, France",,,,,
1975,The Enigma of Kaspar Hauser,Jeder für sich und Gott gegen alle,Werner Herzog,West Germany,,,,,
1976,Cría Cuervos,Cría Cuervos,Carlos Saura,Spain,,,,,
1976,The Marquise of O,Die Marquise von O...,Éric Rohmer,"France, West Germany",,,,,
1978,Bye Bye Monkey,Ciao maschio,Marco Ferreri,"Italy, France",,,,,
1978,The Shout,The Shout,Jerzy Skolimowski,United Kingdom,,,,,
1979,Siberiade,Сибириада,Andrei Konchalovsky,Soviet Union,,,,,
1980s,1980s,1980s,1980s,1980s,,,,,
1980,My American Uncle,Mon oncle d'Amérique,Alain Resnais,France,,,,,
1981,Light Years Away,Les Années lumière,Alain Tanner,"France, Switzerland",,,,,
1982,The Night of the Shooting Stars,La Notte di San Lorenzo,Paolo and Vittorio Taviani,Italy,,,,,
1983,Monty Python's The Meaning of Life,Monty Python's The Meaning of Life,Terry Jones[2],United Kingdom,,,,,
1984,Diary for My Children,Napló gyermekeimnek,Márta Mészáros,Hungary,,,,,
1985,Birdy,Birdy,Alan Parker[3],United States,,,,,
1986,The Sacrifice,Offret,Andrei Tarkovsky,"Sweden, France, United Kingdom",,,,,
1987,Repentance,მონანიება,Tengiz Abuladze,Soviet Union,,,,,
1988,A World Apart,A World Apart,Chris Menges,"United Kingdom, Zimbabwe",,,,,
"Awarded as ""Grand Prix du Jury""","Awarded as ""Grand Prix du Jury""","Awarded as ""Grand Prix du Jury""","Awarded as ""Grand Prix du Jury""","Awarded as ""Grand Prix du Jury""",,,,,
1989,Cinema Paradiso,Nuovo Cinema Paradiso,Giuseppe Tornatore,Italy,,,,,
1989,Too Beautiful for You,Trop belle pour toi,Bertrand Blier,France,,,,,
1990s,1990s,1990s,1990s,1990s,,,,,
1990,The Sting of Death,死の棘,Kōhei Oguri,Japan,,,,,
1990,Tilaï,Tilaï,Idrissa Ouedraogo,"Burkina Faso, Switzerland, France, Germany, United Kingdom",,,,,
1991,La Belle Noiseuse,La Belle Noiseuse,Jacques Rivette,"France, Switzerland",,,,,
1992,The Stolen Children,Il Ladro di bambini,Gianni Amelio,Italy,,,,,
1993,"Faraway, So Close!","In weiter Ferne, so nah!",Wim Wenders,Germany,,,,,
1994,Burnt by the Sun,Утомлённые солнцем,Nikita Mikhalkov,"Russia, France",,,,,
1994,To Live,活着,Zhang Yimou,China,,,,,
"Awarded as ""Grand Prix""","Awarded as ""Grand Prix""","Awarded as ""Grand Prix""","Awarded as ""Grand Prix""","Awarded as ""Grand Prix""",,,,,
1995,Ulysses' Gaze,To Vlemma tou Odyssea,Theo Angelopoulos,Greece,,,,,
