English_title,Year,Dir_or_prod,Studio,Award_mains,Mains_cat,Award_fest,Fest_cat,Production_country,Director,Film_Studio
Sunrise: A Song of Two Humans,1927-01-01 00:00:00,Charles Rosher Karl Struss,Famous Players–Lasky ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Devil Dancer,1927-01-01 00:00:00,George Barnes,Fox ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Magic Flame,1927-01-01 00:00:00,George Barnes,The Caddo Company ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Sadie Thompson,1927-01-01 00:00:00,George Barnes,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
White Shadows in the South Seas,1928-01-01 00:00:00,Clyde De Vinna,Feature Productions ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Divine Lady,1928-01-01 00:00:00,John F. Seitz,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
4 Devils,1928-01-01 00:00:00,Ernest Palmer,Fox ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
In Old Arizona,1928-01-01 00:00:00,Arthur Edeson,Paramount Famous Lasky,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Our Dancing Daughters,1928-01-01 00:00:00,George Barnes,Universal ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Street Angel,1928-01-01 00:00:00,Ernest Palmer,Cosmopolitan ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
With Byrd at the South Pole,1929-01-01 00:00:00,Joseph T. Rucker and Willard Van der Veer,Warner Bros. ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
All Quiet on the Western Front,1929-01-01 00:00:00,Arthur Edeson,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Anna Christie,1929-01-01 00:00:00,William H. Daniels,Paramount Famous Lasky ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Hell's Angels,1929-01-01 00:00:00,Tony Gaudio and Harry Perry,RKO Radio ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Love Parade,1929-01-01 00:00:00,Victor Milner,Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Tabu: A Story of the South Seas,1930-01-01 00:00:00,Floyd Crosby,The Caddo Company ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Cimarron,1930-01-01 00:00:00,Edward Cronjager,Paramount Publix ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Morocco,1930-01-01 00:00:00,Lee Garmes,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Right to Love,1930-01-01 00:00:00,Charles Lang,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Svengali,1930-01-01 00:00:00,Barney McGill,Samuel Goldwyn Productions ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Shanghai Express,1931-01-01 00:00:00,Lee Garmes,Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Arrowsmith,1931-01-01 00:00:00,Ray June,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Dr. Jekyll and Mr. Hyde,1931-01-01 00:00:00,Karl Struss,First National ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
A Farewell to Arms,1932-01-01 00:00:00,Charles Lang,Paramount Publix ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Reunion in Vienna,1932-01-01 00:00:00,George Folsey,Paramount Publix ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Sign of the Cross,1932-01-01 00:00:00,Karl Struss,Paramount Publix ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Cleopatra,1934-01-01 00:00:00,Victor Milner,Fox ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Affairs of Cellini,1934-01-01 00:00:00,Charles Rosher,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Operator 13,1934-01-01 00:00:00,George Folsey,Paramount,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
A Midsummer Night's Dream,1935-01-01 00:00:00,Hal Mohr [note 2],Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Barbary Coast,1935-01-01 00:00:00,Ray June,Columbia,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Crusades,1935-01-01 00:00:00,Victor Milner,RKO Radio,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Les Misérables,1935-01-01 00:00:00,Gregg Toland,London Films,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1936-01-01 00:00:00,Black-and-White,Paramount,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Anthony Adverse,1936-01-01 00:00:00,Tony Gaudio,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The General Died at Dawn,1936-01-01 00:00:00,Victor Milner,Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Gorgeous Hussy,1936-01-01 00:00:00,George Folsey,Columbia ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color (Special Achievement),1936-01-01 00:00:00,Color (Special Achievement),Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Garden of Allah,1936-01-01 00:00:00,W. Howard Greene and Harold Rosson,Paramount,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1937-01-01 00:00:00,Black-and-White,First National,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Good Earth,1937-01-01 00:00:00,Karl Freund,RKO Radio,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Dead End,1937-01-01 00:00:00,Gregg Toland,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Wings over Honolulu,1937-01-01 00:00:00,Joseph Valentine,20th Century,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color (Special Achievement),1937-01-01 00:00:00,Color (Special Achievement),Universal,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
A Star Is Born,1937-01-01 00:00:00,W. Howard Greene,Columbia,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1938-01-01 00:00:00,Black-and-White,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Great Waltz,1938-01-01 00:00:00,Joseph Ruttenberg,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Algiers,1938-01-01 00:00:00,James Wong Howe,Jesse L. Lasky ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Army Girl,1938-01-01 00:00:00,Ernest Miller and Harry J. Wild,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Buccaneer,1938-01-01 00:00:00,Victor Milner,RKO Radio,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Jezebel,1938-01-01 00:00:00,Ernest Haller,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Mad About Music,1938-01-01 00:00:00,Joseph Valentine,Cosmopolitan,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Merrily We Live,1938-01-01 00:00:00,Norbert Brodine,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Suez,1938-01-01 00:00:00,J. Peverell Marley,RKO Radio,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Vivacious Lady,1938-01-01 00:00:00,Robert De Grasse,Paramount,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
You Can't Take It with You,1938-01-01 00:00:00,Joseph Walker,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Young in Heart,1938-01-01 00:00:00,Leon Shamroy,20th Century,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color (Special Achievement),1938-01-01 00:00:00,Color (Special Achievement),Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Sweethearts,1938-01-01 00:00:00,Oliver T. Marsh and Allen Davey,Paramount,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White [note 3][9],1939-01-01 00:00:00,Black-and-White [note 3][9],RKO Radio,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Wuthering Heights,1939-01-01 00:00:00,Gregg Toland,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Stagecoach,1939-01-01 00:00:00,Bert Glennon,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color [note 4][9],1939-01-01 00:00:00,Color [note 4][9],Samuel Goldwyn Productions ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Gone with the Wind,1939-01-01 00:00:00,Ernest Haller and Ray Rennahan,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Private Lives of Elizabeth and Essex,1939-01-01 00:00:00,Sol Polito and W. Howard Greene,Columbia,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1940-01-01 00:00:00,Black-and-White,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Rebecca,1940-01-01 00:00:00,George Barnes,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Abe Lincoln in Illinois,1940-01-01 00:00:00,James Wong Howe,Cosmopolitan,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
"All This, and Heaven Too",1940-01-01 00:00:00,Ernest Haller,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
"Arise, My Love",1940-01-01 00:00:00,Charles Lang,Universal,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Boom Town,1940-01-01 00:00:00,Harold Rosson,Warner Bros. ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Foreign Correspondent,1940-01-01 00:00:00,Rudolph Maté,Columbia,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Letter,1940-01-01 00:00:00,Tony Gaudio,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Long Voyage Home,1940-01-01 00:00:00,Gregg Toland,Samuel Goldwyn Productions ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Spring Parade,1940-01-01 00:00:00,Joseph Valentine,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Waterloo Bridge,1940-01-01 00:00:00,Joseph Ruttenberg,20th Century-Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color,1940-01-01 00:00:00,Color,Columbia,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Thief of Bagdad,1940-01-01 00:00:00,Georges Périnal,Universal,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Bitter Sweet,1940-01-01 00:00:00,Oliver T. Marsh and Allen M. Davey,RKO Radio,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Blue Bird,1940-01-01 00:00:00,Arthur C. Miller and Ray Rennahan,Selznick International Pictures,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Down Argentine Way,1940-01-01 00:00:00,Leon Shamroy and Ray Rennahan,Columbia ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
