English_title,Year,Dir_or_prod,Studio,Award_mains,Mains_cat,Award_fest,Fest_cat,Production_country
The Racket,1927-01-01,Howard Hughes,The Caddo Company ,1,Oscar - Best Film,0,,
Two Arabian Knights,1927-01-01,Lewis Milestone ,,1,Oscar - Best Director,0,,
The Circus,1927-01-01,Charlie Chaplin ,,1,Oscar - Best Director,0,,
Sadie Thompson,1927-01-01,George Barnes,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography,0,,
The Crowd,1927-01-01,King Vidor ,,1,Oscar - Best Director,0,,
The Devil Dancer,1927-01-01,George Barnes,Fox ,1,Oscar - Best Cinematography,0,,
The Magic Flame,1927-01-01,George Barnes,The Caddo Company ,1,Oscar - Best Cinematography,0,,
Wings,1927-01-01,"Lucien Hubbard, Jesse L. Lasky, B.P. Schulberg , & Adolph Zukor",Famous Players–Lasky ,1,Oscar - Best Film,0,,
Speedy,1927-01-01,Ted Wilde ,,1,Oscar - Best Director,0,,
Sorrell and Son,1927-01-01,Herbert Brenon ,,1,Oscar - Best Director,0,,
7th Heaven,1927-01-01,"Frank Borzage , William Fox",Fox ,1,"Oscar - Best Director, Oscar - Best Film",0,,
Sunrise: A Song of Two Humans,1927-01-01,Charles Rosher Karl Struss,Famous Players–Lasky ,1,Oscar - Best Cinematography,0,,
The Broadway Melody,1928-01-01,"Harry Beaumont, Irving Thalberg & Lawrence Weingarten",Metro-Goldwyn-Mayer ,1,"Oscar - Best Director, Oscar - Best Film",0,,
White Shadows in the South Seas,1928-01-01,Clyde De Vinna,Feature Productions ,1,Oscar - Best Cinematography,0,,
Street Angel,1928-01-01,Ernest Palmer,Cosmopolitan ,1,Oscar - Best Cinematography,0,,
4 Devils,1928-01-01,Ernest Palmer,Fox ,1,Oscar - Best Cinematography,0,,
Our Dancing Daughters,1928-01-01,George Barnes,Universal ,1,Oscar - Best Cinematography,0,,
Weary River,1928-01-01,Frank Lloyd,,1,Oscar - Best Director,0,,
Hollywood Revue,1928-01-01,Irving Thalberg & Harry Rapf,Metro-Goldwyn-Mayer ,1,Oscar - Best Film,0,,
Drag,1928-01-01,Frank Lloyd,,1,Oscar - Best Director,0,,
Madame X,1928-01-01,Lionel Barrymore,,1,Oscar - Best Director,0,,
The Divine Lady,1928-01-01,"John F. Seitz, Frank Lloyd",Metro-Goldwyn-Mayer ,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
Alibi,1928-01-01,Roland West,Feature Productions ,1,Oscar - Best Film,0,,
In Old Arizona,1928-01-01,"Arthur Edeson, Irving Cummings, Winfield Sheehan",Paramount Famous Lasky,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Love Parade,1929-01-01,"Victor Milner, Ernst Lubitsch, Ernst Lubitsch",Fox,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Divorcee,1929-01-01,"Robert Z. Leonard, Robert Z. Leonard",Metro-Goldwyn-Mayer ,1,"Oscar - Best Director, Oscar - Best Film",0,,
Disraeli,1929-01-01,Jack L. Warner & Darryl F. Zanuck,Warner Bros. ,1,Oscar - Best Film,0,,
With Byrd at the South Pole,1929-01-01,Joseph T. Rucker and Willard Van der Veer,Warner Bros. ,1,Oscar - Best Cinematography,0,,
Anna Christie,1929-01-01,"William H. Daniels, Clarence Brown",Paramount Famous Lasky ,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
Hallelujah!,1929-01-01,King Vidor,,1,Oscar - Best Director,0,,
The Big House,1929-01-01,Irving Thalberg,Cosmopolitan ,1,Oscar - Best Film,0,,
Hell's Angels,1929-01-01,Tony Gaudio and Harry Perry,RKO Radio ,1,Oscar - Best Cinematography,0,,
Romance,1929-01-01,Clarence Brown,,1,Oscar - Best Director,0,,
