"('Year', '1940s', 'Awarded as ""International Jury Prize""')","('English Title', '1940s', 'Awarded as ""International Jury Prize""')","('Original Title', '1940s', 'Awarded as ""International Jury Prize""')","('Recipient', '1940s', 'Awarded as ""International Jury Prize""')","('Production Country', '1940s', 'Awarded as ""International Jury Prize""')",Number of Wins,Directors,Nationality,Films
1946,The Battle of the Rails,La Bataille du rail,René Clément,France,,,,
1950s,1950s,1950s,1950s,1950s,,,,
"Awarded as ""Special Jury Prize""","Awarded as ""Special Jury Prize""","Awarded as ""Special Jury Prize""","Awarded as ""Special Jury Prize""","Awarded as ""Special Jury Prize""",,,,
1951,All About Eve,All About Eve,Joseph L. Mankiewicz,United States,,,,
1952,We Are All Murderers,Nous sommes tous des assassins,André Cayatte,France,,,,
1954,Knave of Hearts,Monsieur Ripois,René Clément,France,,,,
1955,Lost Continent,Continente perduto,"Enrico Gras, Giorgio Moser & Leonardo Bonzi",Italy,,,,
1956,The Mystery of Picasso,Le mystère Picasso,Henri-Georges Clouzot,France,,,,
1957,Kanał,Kanał,Andrzej Wajda,Poland,,,,
1957,The Seventh Seal,Det sjunde inseglet,Ingmar Bergman,Sweden,,,,
1958,Mon Oncle,Mon Oncle,Jacques Tati,France,,,,
1959,Stars,Sterne,Konrad Wolf,East Germany,,,,
1960s,1960s,1960s,1960s,1960s,,,,
"Awarded as ""Jury Prize""","Awarded as ""Jury Prize""","Awarded as ""Jury Prize""","Awarded as ""Jury Prize""","Awarded as ""Jury Prize""",,,,
1960,L'Avventura,L'Avventura,Michelangelo Antonioni,Italy,,,,
1960,Odd Obsession,鍵,Kon Ichikawa,Japan,,,,
"Awarded as ""Special Jury Prize""","Awarded as ""Special Jury Prize""","Awarded as ""Special Jury Prize""","Awarded as ""Special Jury Prize""","Awarded as ""Special Jury Prize""",,,,
1961,Mother Joan of the Angels,Matka Joanna od Aniołów,Jerzy Kawalerowicz,Poland,,,,
1962,L'Eclisse,L'Eclisse,Michelangelo Antonioni,Italy,,,,
1962,The Trial of Joan of Arc,Procès de Jeanne d'Arc,Robert Bresson,France,,,,
1963,The Cassandra Cat,Až přijde kocour,Vojtěch Jasný,Czechoslovakia,,,,
1963,Harakiri,切腹,Masaki Kobayashi,Japan,,,,
1964,Woman in the Dunes,砂の女,Hiroshi Teshigahara,Japan,,,,
1965,Kwaidan,怪談,Masaki Kobayashi,Japan,,,,
1966,Alfie,Alfie,Lewis Gilbert,United Kingdom,,,,
1969,Z,Z,Costa-Gavras,France,,,,
1970s,1970s,1970s,1970s,1970s,,,,
1970,The Falcons,Magasiskola,István Gaál,Hungary,,,,
1970,The Strawberry Statement,The Strawberry Statement,Stuart Hagmann,United States,,,,
1971,Joe Hill,Joe Hill,Bo Widerberg,"Sweden, United States",,,,
1971,Love,Szerelem,Károly Makk,Hungary,,,,
1972,Slaughterhouse-Five,Slaughterhouse-Five,George Roy Hill,United States,,,,
1973,The Hourglass Sanatorium,Sanatorium pod klepsydrą,Wojciech Has,Poland,,,,
1973,The Invitation,L'Invitation,Claude Goretta,Switzerland,,,,
1980s,1980s,1980s,1980s,1980s,,,,
1980,The Constant Factor,Constans,Krzysztof Zanussi,Poland,,,,
1983,Kharij,Kharij,Mrinal Sen,India,,,,
1985,Colonel Redl,Oberst Redl,István Szabó,"Hungary, West Germany",,,,
1986,Thérèse,Thérèse,Alain Cavalier,France,,,,
1987,Shinran: Path to Purity,親鸞 白い道,Rentarō Mikuni,Japan,,,,
1987,Yeelen,Yeelen,Souleymane Cissé,Mali,,,,
1988,A Short Film About Killing,Krótki film o zabijaniu,Krzysztof Kieślowski,Poland,,,,
1989,Jesus of Montreal,Jésus de Montréal,Denys Arcand,Canada,,,,
1990s,1990s,1990s,1990s,1990s,,,,
1990,Hidden Agenda,Hidden Agenda,Ken Loach,United Kingdom,,,,
1991,Europa,Europa,Lars von Trier,Denmark,,,,
1991,Out of Life,Hors la vie,Maroun Bagdadi,France,,,,
1992,Dream of Light,El sol del membrillo,Víctor Erice,Spain,,,,
1992,An Independent Life,Самостоятельная жизнь,Vitali Kanevsky,"France, Russia",,,,
1993,The Puppetmaster,戲夢人生,Hou Hsiao-hsien,Taiwan,,,,
1993,Raining Stones,Raining Stones,Ken Loach,United Kingdom,,,,
1994,La Reine Margot,La Reine Margot,Patrice Chéreau,France,,,,
1995,Don't Forget You're Going to Die,N'oublie pas que tu vas mourir,Xavier Beauvois,France,,,,
1995,Carrington ‡,Carrington ‡,Christopher Hampton,United Kingdom,,,,
1996,Crash ‡,Crash ‡,David Cronenberg,"Canada, United Kingdom",,,,
1997,Western,Western,Manuel Poirier,France,,,,
1998,The Celebration,Festen,Thomas Vinterberg,Denmark,,,,
1998,Class Trip,La classe de neige,Claude Miller,France,,,,
1999,The Letter,A Carta,Manoel de Oliveira,"Portugal, France, Spain",,,,
2000s,2000s,2000s,2000s,2000s,,,,
2000,Blackboards,تخته سیاه‎,Samira Makhmalbaf,"Iran, Italy",,,,
2000,Songs from the Second Floor,Sånger från andra våningen,Roy Andersson,"Sweden, France",,,,
2002,Divine Intervention,يد إلهية,Elia Suleiman,"Palestine, Morocco, France, Germany",,,,
2003,At Five in the Afternoon,پنج عصر‎,Samira Makhmalbaf,"Iran, France",,,,
2004,The Ladykillers *,The Ladykillers *,Irma P. Hall,United States,,,,
2004,Tropical Malady,Sud pralad,Apichatpong Weerasethakul,"France, Thailand",,,,
2005,Shanghai Dreams,青红,Wang Xiaoshuai,China,,,,
2006,Red Road,Red Road,Andrea Arnold,United Kingdom,,,,
2007,Persepolis,Persepolis,Marjane Satrapi & Vincent Paronnaud,France,,,,
2007,Silent Light,Stellet Licht,Carlos Reygadas,"Mexico, France, Netherlands",,,,
2008,Il divo,Il divo,Paolo Sorrentino,"Italy, France",,,,
2009,Fish Tank,Fish Tank,Andrea Arnold,United Kingdom,,,,
2009,Thirst,박쥐,Park Chan-wook,South Korea,,,,
2010s,2010s,2010s,2010s,2010s,,,,
2010,A Screaming Man,Un homme qui crie,Mahamat-Saleh Haroun,"Chad, France, Belgium",,,,
2011,Polisse,Polisse,Maïwenn,France,,,,
2012,The Angels' Share,The Angels' Share,Ken Loach,"United Kingdom, France, Belgium, Italy",,,,
2013,"Like Father, Like Son",そして父になる,Hirokazu Kore-eda,Japan,,,,
2014,Goodbye to Language,Adieu au Langage,Jean-Luc Godard,France,,,,
2014,Mommy,Mommy,Xavier Dolan,Canada,,,,
2015,The Lobster,The Lobster,Yorgos Lanthimos,"Ireland, United Kingdom, France, Greece, Netherlands",,,,
2016,American Honey,American Honey,Andrea Arnold,"United Kingdom, United States",,,,
2017,Loveless,Нелюбовь,Andrey Zvyagintsev,"Russia, France, Belgium, Germany",,,,
2018,Capernaum,كفرناحوم,Nadine Labaki,Lebanon,,,,
2019,Bacurau,Bacurau,Kleber Mendonça Filho & Juliano Dornelles,"Brazil, France",,,,
2019,Les Misérables,Les Misérables,Ladj Ly,France,,,,
2020s,2020s,2020s,2020s,2020s,,,,
2021,Ahed's Knee,הַבֶּרֶךְ,Nadav Lapid,"France, Germany, Israel",,,,
2021,Memoria,Memoria,Apichatpong Weerasethakul,"Colombia, Thailand, United Kingdom, Mexico, France",,,,
2022,The Eight Mountains,Le otto montagne,Felix van Groeningen & Charlotte Vandermeersch,"Italy, Belgium, France",,,,
2022,EO,EO,Jerzy Skolimowski,"Poland, Italy",,,,
2023,Fallen Leaves,Kuolleet lehdet,Aki Kaurismäki,Finland,,,,
,,,,,3.0,Ken Loach,United Kingdom,"Hidden Agenda (1990), Raining Stones (1993), The Angels' Share (2012)"
,,,,,3.0,Andrea Arnold,United Kingdom,"Red Road (2006), Fish Tank (2009), American Honey (2016)"
,,,,,2.0,René Clément,France,"The Battle of the Rails (1946), Knave of Hearts (1954)"
,,,,,2.0,Michelangelo Antonioni,Italy,"L'Avventura (1960), L'Eclisse (1962)"
,,,,,2.0,Masaki Kobayashi,Japan,"Harakiri (1963), Kwaidan (1965)"
,,,,,2.0,Samira Makhmalbaf,Iran,"Blackboards (2000), At Five in the Afternoon (2003)"
,,,,,2.0,Apichatpong Weerasethakul,Thailand,"Tropical Malady (2004), Memoria (2021)"
