Superlative,Men,Men.1,Women,Women.1,Year,Winner and nominees,English title,Original title,Winners and nominees,Wins,Director,Nominations
Most awards,Roman Polanski,5.0,Tonie Marshall,1.0,,,,,,,,
Most nominations,Alain Resnais,8.0,Nicole Garcia,2.0,,,,,,,,
Most nominations without winning,Claude Miller,7.0,Nicole Garcia,2.0,,,,,,,,
Oldest winner,,,Tonie Marshall,49.0,,,,,,,,
Oldest nominee,,,Agnès Varda,58.0,,,,,,,,
Youngest winner,,,Tonie Marshall,49.0,,,,,,,,
Youngest nominee,,,Maïwenn,35.0,,,,,,,,
,,,,,1976 (1st),Bertrand Tavernier,Let Joy Reign Supreme,Que la fête commence...,,,,
,,,,,1976 (1st),Robert Enrico,The Old Gun,Le Vieux Fusil,,,,
,,,,,1976 (1st),Jean-Paul Rappeneau,Call me Savage,Le Sauvage,,,,
,,,,,1976 (1st),François Truffaut,The Story of Adele H.,L'Histoire d'Adèle H.,,,,
,,,,,1977 (2nd),Joseph Losey,Mr. Klein,Monsieur Klein,,,,
,,,,,1977 (2nd),Claude Miller,The Best Way to Walk,La Meilleure Façon de marcher,,,,
,,,,,1977 (2nd),Bertrand Tavernier,The Judge and the Assassin,Le Juge et l'assassin,,,,
,,,,,1977 (2nd),André Téchiné,Barocco,Barocco,,,,
,,,,,1978 (3rd),Alain Resnais,Providence,Providence,,,,
,,,,,1978 (3rd),Luis Buñuel,That Obscure Object of Desire,Cet obscur objet du désir,,,,
,,,,,1978 (3rd),Claude Miller,This Sweet Sickness,Dites-lui que je l'aime,,,,
,,,,,1978 (3rd),Pierre Schoendoerffer,Drummer-Crab,Le Crabe-Tambour,,,,
,,,,,1979 (4th),Christian de Chalonge,Other People's Money,L'Argent des autres,,,,
,,,,,1979 (4th),Michel Deville,Dossier 51,Le Dossier 51,,,,
,,,,,1979 (4th),Ariane Mnouchkine,Molière,Molière,,,,
,,,,,1979 (4th),Claude Sautet,A Simple Story,Une histoire simple,,,,
,,,,,1980 (5th),,Tess,Tess,Roman Polanski (nominated for the Academy Award),,,
,,,,,1980 (5th),,Womanlight,Clair de femme,Costa Gavras,,,
,,,,,1980 (5th),,Don Giovanni,Don Giovanni,Joseph Losey,,,
,,,,,1980 (5th),,The Hussy,La Drôlesse,Jacques Doillon,,,
,,,,,1981 (6th),,The Last Metro,Le dernier métro,François Truffaut,,,
,,,,,1981 (6th),,Slow Motion (a.k.a. Every Man for Himself),Sauve qui peut (la vie),Jean-Luc Godard,,,
,,,,,1981 (6th),,My American Uncle,Mon oncle d'Amérique,Alain Resnais,,,
,,,,,1981 (6th),,A Bad Son,Un mauvais fils,Claude Sautet,,,
,,,,,1982 (7th),,Quest for Fire,La Guerre du feu,Jean-Jacques Annaud,,,
,,,,,1982 (7th),,Strange Affair,Une étrange affaire,Pierre Granier-Deferre,,,
,,,,,1982 (7th),,Under Suspicion,Garde à vue,Claude Miller,,,
,,,,,1982 (7th),,Clean Up (a.k.a. Clean Slate),Coup de torchon,Bertrand Tavernier,,,
,,,,,1983 (8th),,Danton,Danton,Andrzej Wajda,,,
,,,,,1983 (8th),,A Room in Town,Une chambre en ville,Jacques Demy,,,
,,,,,1983 (8th),,Passion,Passion,Jean-Luc Godard,,,
,,,,,1983 (8th),,The Balance,La Balance,Bob Swaim,,,
,,,,,1984 (9th),,The Ball,Le Bal,Ettore Scola,,,
,,,,,1984 (9th),,"So Long, Stooge",Tchao pantin,Claude Berri,,,
,,,,,1984 (9th),,One Deadly Summer,L'Été meurtrier,Jean Becker,,,
,,,,,1984 (9th),,To Our Loves,À nos amours,Maurice Pialat,,,
,,,,,1984 (9th),,"Finally, Sunday",Vivement dimanche!,François Truffaut,,,
,,,,,1985 (10th),,My New Partner,Les Ripoux,Claude Zidi,,,
,,,,,1985 (10th),,Love Unto Death,L'Amour à mort,Alain Resnais,,,
,,,,,1985 (10th),,Full Moon in Paris,Les Nuits de la pleine lune,Éric Rohmer,,,
,,,,,1985 (10th),,Carmen,Carmen,Francesco Rosi,,,
,,,,,1985 (10th),,A Sunday in the Country,Un dimanche à la campagne,Bertrand Tavernier,,,
,,,,,1986 (11th),,Death in a French Garden,Péril en la demeure,Michel Deville,,,
,,,,,1986 (11th),,Subway,Subway,Luc Besson,,,
,,,,,1986 (11th),,Impudent Girl,L'Effrontée,Claude Miller,,,
,,,,,1986 (11th),,Three Men and a Cradle,Trois hommes et un couffin,Coline Serreau,,,
,,,,,1986 (11th),,Vagabond,Sans toit ni loi,Agnès Varda,,,
,,,,,1987 (12th),,Thérèse,Thérèse,Alain Cavalier,,,
,,,,,1987 (12th),,Betty Blue,37°2 le matin,Jean-Jacques Beineix,,,
,,,,,1987 (12th),,Jean de Florette,Jean de Florette,Claude Berri,,,
,,,,,1987 (12th),,Ménage,Tenue de soirée,Bertrand Blier,,,
,,,,,1987 (12th),,Mélo,Mélo,Alain Resnais,,,
,,,,,1988 (13th),,"Goodbye, Children",Au revoir les enfants,Louis Malle,,,
,,,,,1988 (13th),,The Grand Highway,Le Grand Chemin,Jean-Loup Hubert,,,
,,,,,1988 (13th),,Tandem,Tandem,Patrice Leconte,,,
,,,,,1988 (13th),,Under the Sun of Satan,Sous le soleil de Satan,Maurice Pialat,,,
,,,,,1988 (13th),,The Innocents,Les Innocents,André Téchiné,,,
,,,,,1989 (14th),,The Bear,L'Ours,Jean-Jacques Annaud,,,
,,,,,1989 (14th),,The Big Blue,Le Grand Bleu,Luc Besson,,,
,,,,,1989 (14th),,Story of Women,Une affaire de femmes,Claude Chabrol,,,
,,,,,1989 (14th),,The Reader,La Lectrice,Michel Deville,,,
,,,,,1989 (14th),,The Little Thief,La Petite Voleuse,Claude Miller,,,
,,,,,1990 (15th),,Too Beautiful for You,Trop belle pour toi,Bertrand Blier,,,
,,,,,1990 (15th),,Indian Nocturne,Nocturne indien,Alain Corneau,,,
,,,,,1990 (15th),,Valmont,Valmont,Miloš Forman,,,
,,,,,1990 (15th),,Mr. Hire,Monsieur Hire,Patrice Leconte,,,
,,,,,1990 (15th),,Life and Nothing But,La Vie et rien d'autre,Bertrand Tavernier,,,
,,,,,1991 (16th),,Cyrano de Bergerac,Cyrano de Bergerac,Jean-Paul Rappeneau,,,
,,,,,1991 (16th),,Uranus,Uranus,Claude Berri,,,
,,,,,1991 (16th),,La Femme Nikita,Nikita,Luc Besson,,,
,,,,,1991 (16th),,The Little Gangster,Le Petit Criminel,Jacques Doillon,,,
,,,,,1991 (16th),,The Hairdresser's Husband,Le Mari de la coiffeuse,Patrice Leconte,,,
,,,,,1992 (17th),,All the Mornings of the World,Tous les matins du monde,Alain Corneau,,,
,,,,,1992 (17th),,Thank You Life,Merci la vie,Bertrand Blier,,,
,,,,,1992 (17th),,Van Gogh,Van Gogh,Maurice Pialat,,,
,,,,,1992 (17th),,The Beautiful Troublemaker,La Belle Noiseuse,Jacques Rivette,,,
,,,,,1992 (17th),,I Don't Kiss,J'embrasse pas,André Téchiné,,,
,,,,,1993 (18th),,A Heart in Winter,Un cœur en hiver,Claude Sautet,,,
,,,,,1993 (18th),,Savage Nights,Les Nuits fauves,Cyril Collard,,,
,,,,,1993 (18th),,And the Little Prince Said,Le Petit Prince a dit,Christine Pascal,,,
,,,,,1993 (18th),,L.627,L.627,Bertrand Tavernier,,,
,,,,,1993 (18th),,Indochine,Indochine,Régis Wargnier,,,
,,,,,1994 (19th),,Smoking/No Smoking,Smoking/No Smoking,Alain Resnais,,,
,,,,,1994 (19th),,Germinal,Germinal,Claude Berri,,,
,,,,,1994 (19th),,"1, 2, 3, Sun","Un, deux, trois, soleil",Bertrand Blier,,,
,,,,,1994 (19th),,Three Colours: Blue,Trois couleurs: Bleu,Krzysztof Kieślowski,,,
,,,,,1994 (19th),,The Visitors,Les Visiteurs,Jean-Marie Poiré,,,
,,,,,1994 (19th),,My Favourite Season,Ma saison préférée,André Téchiné,,,
,,,,,1995 (20th),,Wild Reeds,Les Roseaux sauvages,André Téchiné,,,
,,,,,1995 (20th),,Léon,Léon,Luc Besson,,,
,,,,,1995 (20th),,Queen Margot,La Reine Margot,Patrice Chéreau,,,
,,,,,1995 (20th),,The Favourite Son,Le Fils préféré,Nicole Garcia,,,
,,,,,1995 (20th),,Three Colours: Red,Trois couleurs: Rouge,Krzysztof Kieślowski (nominated for the Academy Award),,,
