"('Year', '1940s')","('English Title', '1940s')","('Original Title', '1940s')","('Director(s)', '1940s')","('Production Country', '1940s')",Year,Winner(s)
"1946: Awarded as ""Best Feature Film""","1946: Awarded as ""Best Feature Film""","1946: Awarded as ""Best Feature Film""","1946: Awarded as ""Best Feature Film""","1946: Awarded as ""Best Feature Film""",,
1946 (7th),The Southerner,The Southerner,Jean Renoir,United States,,
"1947–1948: Awarded as ""Grand International Prize of Venice""","1947–1948: Awarded as ""Grand International Prize of Venice""","1947–1948: Awarded as ""Grand International Prize of Venice""","1947–1948: Awarded as ""Grand International Prize of Venice""","1947–1948: Awarded as ""Grand International Prize of Venice""",,
1947 (8th),The Strike,Siréna,Karel Steklý,Czechoslovakia,,
1948 (9th),Hamlet,Hamlet,Laurence Olivier,United Kingdom,,
"1949–1953: Awarded as ""Golden Lion of Saint Mark""","1949–1953: Awarded as ""Golden Lion of Saint Mark""","1949–1953: Awarded as ""Golden Lion of Saint Mark""","1949–1953: Awarded as ""Golden Lion of Saint Mark""","1949–1953: Awarded as ""Golden Lion of Saint Mark""",,
1949 (10th),Manon,Manon,Henri-Georges Clouzot,France,,
1950s,1950s,1950s,1950s,1950s,,
1950 (11th),Justice Is Done,Justice est faite,André Cayatte,France,,
1951 (12th),Rashomon,羅生門,Akira Kurosawa,Japan,,
1952 (13th),Forbidden Games,Jeux interdits,René Clément,France,,
1953 (14th),"No award given, the jury was unable to decide the winner, the prize was declared void.[6][7]","No award given, the jury was unable to decide the winner, the prize was declared void.[6][7]","No award given, the jury was unable to decide the winner, the prize was declared void.[6][7]","No award given, the jury was unable to decide the winner, the prize was declared void.[6][7]",,
"1954–present: Awarded as ""Golden Lion""","1954–present: Awarded as ""Golden Lion""","1954–present: Awarded as ""Golden Lion""","1954–present: Awarded as ""Golden Lion""","1954–present: Awarded as ""Golden Lion""",,
1954 (15th),Romeo and Juliet,Romeo and Juliet,Renato Castellani,United Kingdom,,
1955 (16th),Ordet,Ordet,Carl Theodor Dreyer,Denmark,,
1956 (17th),"No award given. There was a tie between The Burmese Harp (ビルマの竪琴) by Kon Ichikawa (Japan) and Calle Mayor by Juan Antonio Bardem (Spain) and the international jury was unable to decide the winner, the prize was declared void.[8]","No award given. There was a tie between The Burmese Harp (ビルマの竪琴) by Kon Ichikawa (Japan) and Calle Mayor by Juan Antonio Bardem (Spain) and the international jury was unable to decide the winner, the prize was declared void.[8]","No award given. There was a tie between The Burmese Harp (ビルマの竪琴) by Kon Ichikawa (Japan) and Calle Mayor by Juan Antonio Bardem (Spain) and the international jury was unable to decide the winner, the prize was declared void.[8]","No award given. There was a tie between The Burmese Harp (ビルマの竪琴) by Kon Ichikawa (Japan) and Calle Mayor by Juan Antonio Bardem (Spain) and the international jury was unable to decide the winner, the prize was declared void.[8]",,
1957 (18th),Aparajito,অপরাজিত,Satyajit Ray,India,,
1958 (19th),Rickshaw Man,無法松の一生,Hiroshi Inagaki,Japan,,
1959 (20th),General Della Rovere,Il generale della Rovere,Roberto Rossellini,"France, Italy",,
1959 (20th),The Great War,La grande guerra,Mario Monicelli,"France, Italy",,
1960s,1960s,1960s,1960s,1960s,,
1960 (21st),Tomorrow Is My Turn,Le Passage du Rhin,André Cayatte,France,,
1961 (22nd),Last Year at Marienbad,L'année dernière à Marienbad,Alain Resnais,France,,
1962 (23rd),Family Diary,Cronaca familiare,Valerio Zurlini,Italy,,
1962 (23rd),Ivan's Childhood,Ива́ново де́тство,Andrei Tarkovsky,Soviet Union,,
1963 (24th),Hands over the City,Le mani sulla città,Francesco Rosi,Italy,,
1964 (25th),Red Desert,Il deserto rosso,Michelangelo Antonioni,Italy,,
1965 (26th),Sandra,Vaghe stelle dell'Orsa ...,Luchino Visconti,Italy,,
1966 (27th),The Battle of Algiers,La battaglia di Algeri,Gillo Pontecorvo,"Algeria, Italy",,
1967 (28th),Belle de Jour,Belle de Jour,Luis Buñuel,France,,
1968 (29th),Artists Under the Big Top: Perplexed,Die Artisten in der Zirkuskuppel: Ratlos,Alexander Kluge,West Germany,,
1969 (30th),"No award given, this edition of the festival was not competitive.[9]","No award given, this edition of the festival was not competitive.[9]","No award given, this edition of the festival was not competitive.[9]","No award given, this edition of the festival was not competitive.[9]",,
1970s,1970s,1970s,1970s,1970s,,
1970 (31st),"No award given, these editions of the festival were not competitive.[10]","No award given, these editions of the festival were not competitive.[10]","No award given, these editions of the festival were not competitive.[10]","No award given, these editions of the festival were not competitive.[10]",,
1971 (32nd),"No award given, these editions of the festival were not competitive.[10]","No award given, these editions of the festival were not competitive.[10]","No award given, these editions of the festival were not competitive.[10]","No award given, these editions of the festival were not competitive.[10]",,
1972 (33rd),"No award given, these editions of the festival were not competitive.[10]","No award given, these editions of the festival were not competitive.[10]","No award given, these editions of the festival were not competitive.[10]","No award given, these editions of the festival were not competitive.[10]",,
1973,"No award given, the festival was not organized this year.[11]","No award given, the festival was not organized this year.[11]","No award given, the festival was not organized this year.[11]","No award given, the festival was not organized this year.[11]",,
1974 1975 1976,"No award given, the festival was not organized during these years. Even though a cinema section within the Biennale was organized with ""proposals for new films"", tributes, retrospectives, conventions, and some screenings.[10]","No award given, the festival was not organized during these years. Even though a cinema section within the Biennale was organized with ""proposals for new films"", tributes, retrospectives, conventions, and some screenings.[10]","No award given, the festival was not organized during these years. Even though a cinema section within the Biennale was organized with ""proposals for new films"", tributes, retrospectives, conventions, and some screenings.[10]","No award given, the festival was not organized during these years. Even though a cinema section within the Biennale was organized with ""proposals for new films"", tributes, retrospectives, conventions, and some screenings.[10]",,
