Year,English Title,Original title,Director(s),Production Country,Ref.,Original Title,Director,Ref(s),Recipient,Profession,Nationality of Recipient
1939,"The inaugural Cannes Film Festival was to have been held in 1939, but was cancelled due to the outbreak of the Second World War. The festival was not inaugurated until after the conclusion of the war.[14] Sixty-three years later, the organizers of the 2002 festival assembled a jury of six members, including Dieter Kosslick and Alberto Barbera, to watch seven of the twelve features which had been entered into the 1939 competition, namely: Goodbye, Mr. Chips, La Loi du Nord, Lenin in 1918, The Four Feathers, The Wizard of Oz, Union Pacific, and Boefje. Union Pacific by Cecil B. DeMille was retrospectively voted the winner of the 1939 Palme d'Or.","The inaugural Cannes Film Festival was to have been held in 1939, but was cancelled due to the outbreak of the Second World War. The festival was not inaugurated until after the conclusion of the war.[14] Sixty-three years later, the organizers of the 2002 festival assembled a jury of six members, including Dieter Kosslick and Alberto Barbera, to watch seven of the twelve features which had been entered into the 1939 competition, namely: Goodbye, Mr. Chips, La Loi du Nord, Lenin in 1918, The Four Feathers, The Wizard of Oz, Union Pacific, and Boefje. Union Pacific by Cecil B. DeMille was retrospectively voted the winner of the 1939 Palme d'Or.","The inaugural Cannes Film Festival was to have been held in 1939, but was cancelled due to the outbreak of the Second World War. The festival was not inaugurated until after the conclusion of the war.[14] Sixty-three years later, the organizers of the 2002 festival assembled a jury of six members, including Dieter Kosslick and Alberto Barbera, to watch seven of the twelve features which had been entered into the 1939 competition, namely: Goodbye, Mr. Chips, La Loi du Nord, Lenin in 1918, The Four Feathers, The Wizard of Oz, Union Pacific, and Boefje. Union Pacific by Cecil B. DeMille was retrospectively voted the winner of the 1939 Palme d'Or.","The inaugural Cannes Film Festival was to have been held in 1939, but was cancelled due to the outbreak of the Second World War. The festival was not inaugurated until after the conclusion of the war.[14] Sixty-three years later, the organizers of the 2002 festival assembled a jury of six members, including Dieter Kosslick and Alberto Barbera, to watch seven of the twelve features which had been entered into the 1939 competition, namely: Goodbye, Mr. Chips, La Loi du Nord, Lenin in 1918, The Four Feathers, The Wizard of Oz, Union Pacific, and Boefje. Union Pacific by Cecil B. DeMille was retrospectively voted the winner of the 1939 Palme d'Or.",[15],,,,,,
"Awarded as ""Grand Prix du Festival International du Film""","Awarded as ""Grand Prix du Festival International du Film""","Awarded as ""Grand Prix du Festival International du Film""","Awarded as ""Grand Prix du Festival International du Film""","Awarded as ""Grand Prix du Festival International du Film""","Awarded as ""Grand Prix du Festival International du Film""",,,,,,
1946,Brief Encounter,Brief Encounter,David Lean,United Kingdom,[16],,,,,,
1946,The Last Chance,Die Letzte Chance,Leopold Lindtberg,Switzerland,,,,,,,
1946,The Lost Weekend,The Lost Weekend,Billy Wilder,United States,[17],,,,,,
1946,María Candelaria,María Candelaria,Emilio Fernández,Mexico,[18],,,,,,
1946,Men Without Wings,Muži bez křídel,František Čáp,Czechoslovakia,[19],,,,,,
1946,Neecha Nagar,Neecha Nagar,Chetan Anand,India,[20],,,,,,
1946,Pastoral Symphony,La symphonie pastorale,Jean Delannoy,France,[21],,,,,,
1946,The Red Meadows,De røde enge,"Bodil Ipsen & Lau Lauritzen, Jr.",Denmark,[22],,,,,,
