Year,English title,Original title,Director
1976,The Old Gun,Le Vieux Fusil,Robert Enrico
1976,"Cousin, Cousine","Cousin, cousine",Jean Charles Tacchella
1976,Let Joy Reign Supreme,Que la fête commence,Bertrand Tavernier
1976,Seven Deaths by Prescription,Sept morts sur ordonnance,Jacques Rouffio
1977,Mr. Klein,Monsieur Klein,Joseph Losey
1977,Barocco,Barocco,André Téchiné
1977,The Best Way to Walk,La Meilleure Façon de marcher,Claude Miller
1977,The Judge and the Assassin,Le Juge et l'assassin,Bertrand Tavernier
1978,Providence,Providence,Alain Resnais
1978,Drummer-Crab,Le Crabe-Tambour,Pierre Schoendoerffer
1978,The Lacemaker,La Dentellière,Claude Goretta
1978,We Will All Meet in Paradise,Nous irons tous au paradis,Yves Robert
1979,Other People's Money,L'Argent des autres,Christian de Chalonge
1979,Dossier 51,Le Dossier 51,Michel Deville
1979,Molière,Molière,Ariane Mnouchkine
1979,A Simple Story,Une histoire simple,Claude Sautet
1980,Tess,Tess,Roman Polanski
1980,Don Giovanni,Don Giovanni,Joseph Losey
1980,I as in Icarus,I... comme Icare,Henri Verneuil
1980,Womanlight,Clair de femme,Costa Gavras
1981,The Last Metro,Le Dernier Métro,François Truffaut
1981,Loulou,Loulou,Maurice Pialat
1981,My American Uncle,Mon oncle d'Amérique,Alain Resnais
1981,Slow Motion (a.k.a. Every Man for Himself),Sauve qui peut (la vie),Jean-Luc Godard
1982,Quest for Fire,La Guerre du feu,Jean-Jacques Annaud
1982,Clean Up (a.k.a. Clean Slate),Coup de torchon,Bertrand Tavernier
1982,Dance of Life,Les Uns et les autres,Claude Lelouch
1982,Under Suspicion,Garde à vue,Claude Miller
1983,The Nark,La Balance,Bob Swaim
1983,Danton,Danton,Andrzej Wajda
1983,Passion,Passion,Jean-Luc Godard
1983,A Room in Town,Une chambre en ville,Jacques Demy
1984,The Ball,Le Bal,Ettore Scola
1984,To Our Love,À nos amours,Maurice Pialat
1984,Between Us,Entre nous (a.k.a. Coup de foudre),Diane Kurys
1984,One Deadly Summer,L'Été meurtrier,Jean Becker
1984,"So Long, Stooge",Tchao pantin,Claude Berri
1985,My New Partner,Les Ripoux,Claude Zidi
1985,Carmen,Carmen,Francesco Rosi
1985,Full Moon in Paris,Les Nuits de la pleine lune,Éric Rohmer
1985,Love Unto Death,L'Amour à mort,Alain Resnais
1985,A Sunday in the Country,Un dimanche à la campagne,Bertrand Tavernier
1986,Three Men and a Cradle,3 hommes et un couffin,Coline Serreau
1986,Death in a French Garden,Péril en la demeure,Michel Deville
1986,Impudent Girl,L'Effrontée,Claude Miller
1986,Subway,Subway,Luc Besson
1986,Vagabond,Sans toit ni loi,Agnès Varda
1987,Thérèse,Thérèse,Alain Cavalier
1987,Betty Blue,37°2 le matin,Jean-Jacques Beineix
1987,Jean de Florette,Jean de Florette,Claude Berri
